col,start_year,avg_completeness,category
AST_RATIO,2014,1.0,Advanced - Efficiency
DEF_RATING,2014,1.0,Advanced - Efficiency
EFG_PCT,2014,1.0,Advanced - Efficiency
E_DEF_RATING,2014,1.0,Advanced - Efficiency
E_NET_RATING,2014,1.0,Advanced - Efficiency
E_OFF_RATING,2014,1.0,Advanced - Efficiency
E_PACE,2014,1.0,Advanced - Efficiency
E_USG_PCT,2014,1.0,Advanced - Efficiency
NET_RATING,2014,1.0,Advanced - Efficiency
OFF_RATING,2014,1.0,Advanced - Efficiency
PACE,2014,1.0,Advanced - Efficiency
PACE_PER40,2014,1.0,Advanced - Efficiency
PIE,2014,1.0,Advanced - Efficiency
PULL_UP_EFG_PCT,2014,0.5881272613395936,Advanced - Efficiency
TS_PCT,2014,1.0,Advanced - Efficiency
USG_PCT,2014,1.0,Advanced - Efficiency
two_pt_def_FG2A,2014,0.9181084236590816,Defensive Tracking - 2PT
two_pt_def_FG2M,2014,0.9181084236590816,Defensive Tracking - 2PT
two_pt_def_FG2_PCT,2014,0.9181084236590816,Defensive Tracking - 2PT
two_pt_def_NS_FG2_PCT,2014,0.9181084236590816,Defensive Tracking - 2PT
three_pt_def_FG3A,2014,0.8315716185958889,Defensive Tracking - 3PT
three_pt_def_FG3M,2014,0.8315716185958889,Defensive Tracking - 3PT
three_pt_def_FG3_PCT,2014,0.8315716185958889,Defensive Tracking - 3PT
three_pt_def_NS_FG3_PCT,2014,0.8315716185958889,Defensive Tracking - 3PT
overall_def_D_FGA,2014,0.9498738102558189,Defensive Tracking - Overall
overall_def_D_FGM,2014,0.9498738102558189,Defensive Tracking - Overall
overall_def_D_FG_PCT,2014,0.9498738102558189,Defensive Tracking - Overall
overall_def_FREQ,2014,0.9498738102558189,Defensive Tracking - Overall
overall_def_NORMAL_FG_PCT,2014,0.9498738102558189,Defensive Tracking - Overall
overall_def_PCT_PLUSMINUS,2014,0.9498738102558189,Defensive Tracking - Overall
less_10ft_def_FGA_LT_10,2014,0.8722956682895857,Defensive Tracking - Paint (<10ft)
less_10ft_def_FGM_LT_10,2014,0.8722956682895857,Defensive Tracking - Paint (<10ft)
less_10ft_def_LT_10_PCT,2014,0.8722956682895857,Defensive Tracking - Paint (<10ft)
less_10ft_def_NS_LT_10_PCT,2014,0.8722956682895857,Defensive Tracking - Paint (<10ft)
more_15ft_def_FGA_GT_15,2014,0.8872982053714271,Defensive Tracking - Perimeter (>15ft)
more_15ft_def_FGM_GT_15,2014,0.8872982053714271,Defensive Tracking - Perimeter (>15ft)
more_15ft_def_GT_15_PCT,2014,0.8872982053714271,Defensive Tracking - Perimeter (>15ft)
more_15ft_def_NS_GT_15_PCT,2014,0.8872982053714271,Defensive Tracking - Perimeter (>15ft)
GAME_ID,2014,1.0,Metadata/Context
PLAYER_ID,2014,1.0,Metadata/Context
TEAM_ID,2014,1.0,Metadata/Context
date,2014,1.0,Metadata/Context
playoffs,2014,0.9535251765177669,Metadata/Context
season,2014,0.9996018732588237,Metadata/Context
year,2014,1.0,Metadata/Context
